[10/05/21 13:57:09] Server Open OK # Port:20000
[10/05/21 16:24:58] Frame : 23  Loop : 15104
[10/05/21 16:24:59] Frame : 28  Loop : 13742
[10/05/21 16:25:01] Connect Session # IP:127.0.0.1 / SessionID:86 
[10/05/21 16:25:01] Frame : 26  Loop : 15445
[10/05/21 16:27:37] Connect Session # IP:127.0.0.1 / SessionID:87 
[10/05/21 16:27:48] Frame : 26  Loop : 22209
[10/05/21 16:29:49] Server Open OK # Port:20000
[10/05/21 16:29:54] Connect Session # IP:127.0.0.1 / SessionID:1 
[10/05/21 16:30:10] Connect Session # IP:127.0.0.1 / SessionID:2 
[10/05/21 16:30:37] Connect Session # IP:127.0.0.1 / SessionID:3 
